step,evaluation_loss
313,0.4507851004600525
626,0.3849939703941345
939,0.3648037016391754
1252,0.3602955639362335
1565,0.35882386565208435
1878,0.3577585518360138
2191,0.35699665546417236
2504,0.35657262802124023
2817,0.35623523592948914
3130,0.3561437427997589
3443,0.3558288514614105
3756,0.35561439394950867
4069,0.35539326071739197
4382,0.35526391863822937
4695,0.3552723824977875
5008,0.3551253378391266
5321,0.35511574149131775
5634,0.35494565963745117
5947,0.3549646735191345
6260,0.3549272418022156
6573,0.3548155128955841
6886,0.35477355122566223
7199,0.35476091504096985
7512,0.3547667860984802
7825,0.3546476364135742
8138,0.35475364327430725
8451,0.3546772599220276
8764,0.35472363233566284
9077,0.35471299290657043
9390,0.3547270894050598
9703,0.35471808910369873
10016,0.3546982407569885
10329,0.35468989610671997
10642,0.3547041118144989
10955,0.35470420122146606
11268,0.354699045419693
11581,0.35469362139701843
11894,0.3546932339668274
12207,0.35469236969947815
