step,evaluation_loss
313,0.45078545808792114
626,0.3849988877773285
939,0.3648023009300232
1252,0.3602921664714813
1565,0.35881859064102173
1878,0.3577539026737213
2191,0.35698822140693665
2504,0.3565661311149597
2817,0.3562307059764862
3130,0.35614094138145447
3443,0.35582756996154785
3756,0.355611652135849
4069,0.3553917109966278
4382,0.3552616238594055
4695,0.3552708327770233
5008,0.35512250661849976
5321,0.3551126718521118
5634,0.3549439609050751
5947,0.35496145486831665
6260,0.3549233376979828
6573,0.35481226444244385
6886,0.3547684848308563
7199,0.3547547459602356
7512,0.35476168990135193
7825,0.35464251041412354
8138,0.3547482192516327
8451,0.3546721637248993
8764,0.35471805930137634
9077,0.35470837354660034
9390,0.35472264885902405
9703,0.35471391677856445
10016,0.3546939194202423
10329,0.3546854257583618
10642,0.3546994924545288
10955,0.35469934344291687
11268,0.3546941578388214
11581,0.354688823223114
11894,0.35468846559524536
12207,0.35468757152557373
